Processing question_tags.csv...
Processed 36200000 rows, current total: 20156
Processed 36300000 rows, current total: 20244
Processed 36400000 rows, current total: 20312
Processed 36500000 rows, current total: 20399
Processed 36600000 rows, current total: 20498
Processed 36700000 rows, current total: 20590
Processed 36800000 rows, current total: 20680
Processed 36900000 rows, current total: 20762
Processed 37000000 rows, current total: 20853
Processed 37100000 rows, current total: 20952
Processed 37200000 rows, current total: 21033
Processed 37300000 rows, current total: 21124
Processed 37400000 rows, current total: 21186
Processed 37500000 rows, current total: 21267
Processed 37600000 rows, current total: 21347
Processed 37700000 rows, current total: 21428
Processed 37800000 rows, current total: 21522
Processed 37900000 rows, current total: 21596
Processed 38000000 rows, current total: 21680
Processed 38100000 rows, current total: 21769
Processed 38200000 rows, current total: 21846
Processed 38300000 rows, current total: 21942
Processed 38400000 rows, current total: 22034
Processed 38500000 rows, current total: 22107
Processed 38600000 rows, current total: 22177
Processed 38700000 rows, current total: 22275
Processed 38800000 rows, current total: 22362
Processed 38900000 rows, current total: 22443
Processed 39000000 rows, current total: 22541
Processed 39100000 rows, current total: 22614
Processed 39200000 rows, current total: 22697
Processed 39300000 rows, current total: 22780
Processed 39400000 rows, current total: 22851
Processed 39500000 rows, current total: 22939
Processed 39600000 rows, current total: 23016
Processed 39700000 rows, current total: 23103
Processed 39800000 rows, current total: 23175
Processed 39900000 rows, current total: 23242
Processed 40000000 rows, current total: 23323
Processed 40100000 rows, current total: 23410
Processed 40200000 rows, current total: 23495
Processed 40300000 rows, current total: 23584
Processed 40400000 rows, current total: 23655
Processed 40500000 rows, current total: 23747
Processed 40600000 rows, current total: 23825
Processed 40700000 rows, current total: 23920
Processed 40800000 rows, current total: 24033
Processed 40900000 rows, current total: 24126
Processed 41000000 rows, current total: 24220
Processed 41100000 rows, current total: 24309
Processed 41200000 rows, current total: 24390
Processed 41300000 rows, current total: 24462
Processed 41400000 rows, current total: 24548
Processed 41500000 rows, current total: 24653
Processed 41600000 rows, current total: 24730
Processed 41700000 rows, current total: 24808
Processed 41800000 rows, current total: 24892
Processed 41900000 rows, current total: 24956
Processed 42000000 rows, current total: 25028
Processed 42100000 rows, current total: 25118
Processed 42200000 rows, current total: 25192
Processed 42300000 rows, current total: 25272
Processed 42400000 rows, current total: 25356
Processed 42500000 rows, current total: 25449
Processed 42600000 rows, current total: 25519
Processed 42700000 rows, current total: 25598
Processed 42800000 rows, current total: 25690
Processed 42900000 rows, current total: 25790
Processed 43000000 rows, current total: 25855
Processed 43100000 rows, current total: 25939
Processed 43200000 rows, current total: 26012
Processed 43300000 rows, current total: 26084
Processed 43400000 rows, current total: 26174
Processed 43500000 rows, current total: 26264
Processed 43600000 rows, current total: 26344
Processed 43700000 rows, current total: 26419
Processed 43800000 rows, current total: 26495
Processed 43900000 rows, current total: 26604
Processed 44000000 rows, current total: 26673
Processed 44100000 rows, current total: 26777
Processed 44200000 rows, current total: 26859
Processed 44300000 rows, current total: 26959
Processed 44400000 rows, current total: 27042
Processed 44500000 rows, current total: 27132
Processed 44600000 rows, current total: 27227
Processed 44700000 rows, current total: 27305
Processed 44800000 rows, current total: 27367
Processed 44900000 rows, current total: 27443
Processed 45000000 rows, current total: 27517
Processed 45100000 rows, current total: 27593
Processed 45200000 rows, current total: 27672
Processed 45300000 rows, current total: 27744
Processed 45400000 rows, current total: 27820
Processed 45500000 rows, current total: 27910
Processed 45600000 rows, current total: 27994
Processed 45700000 rows, current total: 28083
Processed 45800000 rows, current total: 28171
Processed 45900000 rows, current total: 28265
Processed 46000000 rows, current total: 28349
Processed 46100000 rows, current total: 28451
Processed 46200000 rows, current total: 28536
Processed 46300000 rows, current total: 28653
Processed 46400000 rows, current total: 28762
Processed 46500000 rows, current total: 28869
Processed 46600000 rows, current total: 28967
Processed 46700000 rows, current total: 29054
Processed 46800000 rows, current total: 29139
Processed 46900000 rows, current total: 29255
Processed 47000000 rows, current total: 29344
Processed 47100000 rows, current total: 29445
Processed 47200000 rows, current total: 29559
Processed 47300000 rows, current total: 29662
Processed 47400000 rows, current total: 29758
Processed 47500000 rows, current total: 29836
Processed 47600000 rows, current total: 29922
Processed 47700000 rows, current total: 30025
Processed 47800000 rows, current total: 30133
Processed 47900000 rows, current total: 30223
Processed 48000000 rows, current total: 30317
Processed 48100000 rows, current total: 30396
Processed 48200000 rows, current total: 30478
Processed 48300000 rows, current total: 30581
Processed 48400000 rows, current total: 30673
Processed 48500000 rows, current total: 30787
Processed 48600000 rows, current total: 30886
Processed 48700000 rows, current total: 30994
Processed 48800000 rows, current total: 31106
Processed 48900000 rows, current total: 31179
Processed 49000000 rows, current total: 31272
Processed 49100000 rows, current total: 31351
Processed 49200000 rows, current total: 31437
Processed 49300000 rows, current total: 31544
Processed 49400000 rows, current total: 31645
Processed 49500000 rows, current total: 31724
Processed 49600000 rows, current total: 31831
Processed 49700000 rows, current total: 31925
Processed 49800000 rows, current total: 32001
Processed 49900000 rows, current total: 32084
Processed 50000000 rows, current total: 32180
Processed 50100000 rows, current total: 32274
Processed 50200000 rows, current total: 32371
Processed 50300000 rows, current total: 32475
Processed 50400000 rows, current total: 32575
Processed 50500000 rows, current total: 32655
Processed 50600000 rows, current total: 32725
Processing questions.csv...
Processing question_tags.csv...
Processed 100000 rows, current total: 3
Processing question_tags.csv...
Processed 100000 rows, current total: 3
